accession	organism_name	species	assembly_level	assembly_status	species_status	source	callable_fraction	reconstructed_fraction	n_fraction	explicit_deleted_nt	insertion_nt	sensitive_rescued_nt	internal_stop_count_naive	frame_remainder	supported_events	rescued_events	quality_score	warnings	selected_representative
GCA_917880005.1	Nanger dama	Nanger dama	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9189092213850018	0.9189092213850018	0.06147091108671789	58	4	27	42	0	13	0	164.40679722007286	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_020226025.1	Muntiacus gongshanensis	Muntiacus gongshanensis	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9705776820954432	0.9705776820954432	0.002565982404692082	75	16	26	37	1	8	0	173.0321083854974	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_041156055.1	Ovibos moschatus	Ovibos moschatus	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.9684248295658414	0.9684248295658414	0.010948905109489052	58	11	0	41	1	15	0	172.60699486903164	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_023091745.2	Budorcas taxicolor	Budorcas taxicolor	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9684248295658414	0.9684248295658414	0.01095290251916758	58	10	0	20	0	11	0	175.60695489493486	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_023701655.1	Ovis ammon polii x Ovis aries	Ovis ammon polii x Ovis aries	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9677072120559742	0.9677072120559742	0.010968921389396709	60	8	26	28	2	15	0	175.53503295524587	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_025584935.1	Bubalus depressicornis	Bubalus depressicornis	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_plus_refiner_sensitive_remnant	0.5123789020452099	0.5123789020452099	0.47978142076502733	42	0	19	9	0	6	0	97.64840933020405	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_029407905.2	Bubalus kerabau	Bubalus kerabau	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.8058844635809114	0.8058844635809114	0.17304860088365243	71	0	57	25	1	11	0	151.62792797985463	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_032405125.2	Capricornis sumatraensis	Capricornis sumatraensis	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9669895945461069	0.9669895945461069	0.010968921389396709	62	10	0	35	2	14	0	175.46327120425912	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_032452875.1	Bos javanicus	Bos javanicus	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	32	2	14	0	174.71978175525868	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_033118175.2	Dama dama	Dama dama	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9730893433799784	0.9730893433799784	0.0018301610541727673	70	15	26	42	2	9	0	176.2906327274561	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054829135.1	Cervus nippon yesoensis	Cervus nippon	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9002511661284536	0.9002511661284536	0.07373774064656738	75	41	17	41	2	10	0	167.72435892468954	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054824845.1	Rucervus eldii thamin	Rucervus eldii	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.9077861499820595	0.9077861499820595	0.06603081438004402	77	16	41	35	2	7	0	167.88668466512948	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_038501445.1	Rusa alfredi	Rusa alfredi	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8998923573735199	0.8998923573735199	0.0747800586510264	75	16	17	37	1	7	0	123.21169089583802	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_038502695.1	Capra falconeri	Capra falconeri	Scaffold	DISRUPTED_POSSIBLE	DISRUPTED_POSSIBLE	first_pass_reference_anchored_remnant	0.47793326157158234	0.47793326157158234	0.5161056822294607	29	5	0	18	0	7	0	94.16742105947468	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_039877825.1	Muntiacus vaginalis	Muntiacus vaginalis	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9669895945461069	0.9669895945461069	0.0025744759102611253	85	17	26	37	1	9	0	175.67321469550808	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_050084595.1	Ovis vignei punjabiensis	Ovis vignei	Scaffold	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_plus_refiner_sensitive_remnant	0.964119124506638	0.964119124506638	0.012463343108504398	66	7	26	37	1	13	0	172.14535007471812	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_050436925.1	Pseudoryx nghetinhensis	Pseudoryx nghetinhensis	Scaffold	UNRESOLVED_ASSEMBLY_GAP	UNRESOLVED	first_pass_plus_refiner_sensitive_remnant	0.8098313598851812	0.8098313598851812	0.17410387710314557	54	1	51	30	1	12	0	109.27525731668874	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054099735.1	Cephalophula zebra	Cephalophula zebra	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.9709364908503767	0.9709364908503767	0.007681053401609363	60	7	0	24	1	19	0	175.94166163713498	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_054855995.1	Capra nubiana	Capra nubiana	Chromosome	DISRUPTED_STRONG	DISRUPTED_HIGH	first_pass_reference_anchored_remnant	0.965913168281306	0.965913168281306	0.010993037742762916	65	7	0	38	2	12	0	175.3553874142454	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_059698765.1	Muntiacus feae	Muntiacus feae	Contig	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9698600645855759	0.9698600645855759	0.0025678650036683784	77	16	26	39	2	6	0	169.9603278085209	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_903231385.1	Ovis nivicola lydekkeri	Ovis nivicola	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9630426982418371	0.9630426982418371	0.012477064220183486	69	7	26	24	1	14	0	172.03757023712126	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_905120125.1	Megaloceros giganteus	Megaloceros giganteus	Scaffold	UNRESOLVED	UNRESOLVED	first_pass_reference_anchored_remnant	0.0	0.0	1.0	0	0	0	0	0	0	0	6.0	"[""raw_blast_missing_or_empty""]"	True
GCA_946052875.1	Bos gaurus x Bos taurus	Bos gaurus x Bos taurus	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_reference_anchored_remnant	0.961248654467169	0.961248654467169	0.017955294979846097	59	1	0	33	2	13	0	174.8736279091048	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_963879515.1	Bison bonasus	Bison bonasus	Scaffold	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.9070685324721923	0.9070685324721923	0.07328691828508611	59	1	27	20	2	13	0	163.03288366899463	"[""refiner_sensitive_exon_blast_incorporated""]"	True
GCA_963981305.1	Rupicapra rupicapra	Rupicapra rupicapra	Chromosome	DISRUPTED_STRONG	DISRUPTED_LIKELY	first_pass_plus_refiner_sensitive_remnant	0.8905633297452458	0.8905633297452458	0.08556738890929122	72	8	17	36	2	14	0	166.699073194514	"[""refiner_sensitive_exon_blast_incorporated""]"	True
NM_148963.4	Homo sapiens	Homo sapiens	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9967707212055974	0.9967707212055974	0.0	0	0	0	0	0	0	0	379.5801937567276	"[""independent_external_intact_background""]"	True
NM_153071.2	Mus musculus	Mus musculus	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9989235737351991	0.9989235737351991	0.0	0	0	0	0	0	0	0	379.8600645855759	"[""independent_external_intact_background""]"	True
NM_001271106.2	Rattus norvegicus	Rattus norvegicus	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9989235737351991	0.9989235737351991	0.0	0	0	0	0	0	0	0	379.8600645855759	"[""independent_external_intact_background""]"	True
XM_002714768.4	Oryctolagus cuniculus	Oryctolagus cuniculus	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9978471474703983	0.9978471474703983	0.0	0	0	0	0	0	0	0	379.7201291711518	"[""independent_external_intact_background""]"	True
XM_038654729.1	Canis lupus familiaris	Canis lupus familiaris	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9989235737351991	0.9989235737351991	0.0	0	0	0	0	0	0	0	379.8600645855759	"[""independent_external_intact_background""]"	True
XM_003986492.6	Felis catus	Felis catus	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9989235737351991	0.9989235737351991	0.0	0	0	0	0	0	0	0	379.8600645855759	"[""independent_external_intact_background""]"	True
XM_001504147.3	Equus caballus	Equus caballus	curated_external_CDS	EXTERNAL_REFSEQ_INTACT	EXTERNAL_INTACT	external_intact_fasta:external_intact_gprc6a.fasta	0.9989235737351991	0.9989235737351991	0.0	0	0	0	0	0	0	0	379.8600645855759	"[""independent_external_intact_background""]"	True
