Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Species Key	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM1914517v1	GCA_019145175.1		Ovis aries	Ovis aries	Dorper					male		Chromosome	2021-07-08	JAGTXJ01	60
ASM2241678v1	GCA_022416785.1		Ovis aries	Ovis aries	Yunnan sheep				YUN1	female		Chromosome	2022-03-10	JAKJQK01	1295
ASM5091668v1	GCA_050916685.1		Ovis aries	Ovis aries	Butuo black sheep				BY554-001P0001	female		Chromosome	2025-06-13	JBPCZR01	3599
ASM2253800v1	GCA_022538005.1		Ovis aries	Ovis aries	Romney sheep				ROM1	female		Chromosome	2022-03-10	JAKJQG01	1455
ASM2241674v1	GCA_022416745.1		Ovis aries	Ovis aries	Charollais sheep				CHA1	female		Chromosome	2022-03-10	JAKJQJ01	1324
ASM2241672v1	GCA_022416725.1		Ovis aries	Ovis aries	Suffolk sheep				SFK1	female		Chromosome	2022-03-10	JAKJQH01	1409
Oar_ARS-UKY_Romanov_v1.0	GCA_022244705.1		Ovis aries	Ovis aries	Romanov x White Dorper					male		Chromosome	2022-02-24	JAHUUQ01	432
Oar_ARS-UKY_WhiteDorper_v1.0	GCA_022244695.1		Ovis aries	Ovis aries	Romanov x White Dorper					male		Chromosome	2022-02-24	JAHUUR01	1104
ASM2243282v1	GCA_022432825.1		Ovis aries	Ovis aries	Chinese Merino sheep				MER1	female		Chromosome	2022-03-10	JAKJQO01	1643
ASM2241677v1	GCA_022416775.1		Ovis aries	Ovis aries	Texel sheep				TEX1	female		Chromosome	2022-03-10	JAKJQL01	1662
ASM2422217v1	GCA_024222175.1		Ovis aries	Ovis aries	Romanov sheep				Rmnv1	female		Chromosome	2022-07-13	JAMFTK01	1056
ASM4025935v1	GCA_040259355.1		Ovis aries	Ovis aries	Guide black fur sheep				GD	male		Chromosome	2024-06-21	JBEJUG01	726
ASM2241669v1	GCA_022416695.1		Ovis aries	Ovis aries	White Dorper sheep				WDU1	female		Chromosome	2022-03-10	JAKJQE01	1716
ASM1117029v1	GCA_011170295.1		Ovis aries	Ovis aries	Hu sheep				Hu2020	male		Chromosome	2020-03-11	JAAFGP01	1015
Saanen maternal haplotype	GCA_057428545.1		Capra hircus	Capra hircus	Kiko x Saanen					female		Chromosome	2026-05-11	JBXXJG01	36
Kiko paternal haplotype	GCA_057428595.1		Capra hircus	Capra hircus	Kiko x Saanen					female		Chromosome	2026-05-11	JBXXJH01	33
ASM4646407v1	GCA_046464075.1		Capra hircus	Capra hircus	Tibetan Goat				Tibetan	female		Chromosome	2025-01-03	JBJNUV01	90
ASM4767163v1	GCA_047671635.1		Capra hircus	Capra hircus	Hainan black Goat				HNBG	female		Chromosome	2025-02-12	JBLKYB01	149
ASM4900445v1	GCA_049004455.1		Capra hircus	Capra hircus	Tibetan Goat				Tibetan	female		Chromosome	2025-03-26	JBKFXV01	131
ASM4900440v1	GCA_049004405.1		Capra hircus	Capra hircus	Tibetan Goat				Tibetan	female		Chromosome	2025-03-26	JBKFXW01	87
ASM4450921v1	GCA_044509215.1		Capra hircus	Capra hircus	Shanbei Cashmere Goat				SBWCG	female		Chromosome	2024-11-06	JBGRUL01	227
ASM5905555v1	GCA_059055555.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_D_M	male		Chromosome	2026-07-07	JBXEOD01	580
ASM5905562v1	GCA_059055625.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_D_M	male		Chromosome	2026-07-07	JBXEOE01	162
ASM5755763v1	GCA_057557635.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_T_M	male		Chromosome	2026-05-15	JBXEOG01	161
ASM5755644v1	GCA_057556445.1		Capra hircus	Capra hircus	Korean native black goat				KNBG_T_M	male		Chromosome	2026-05-15	JBXEOF01	412
ASM4458801v1	GCA_044588015.1		Capra hircus	Capra hircus	Guanzhong Milk Goat				GZMG	female		Chromosome	2024-11-07	JBFPJK01	366
ASM4458793v1	GCA_044587935.1		Capra hircus	Capra hircus	Nubian Goat				NUBIAN	female		Chromosome	2024-11-07	JBFPJL01	922
ASM4458794v1	GCA_044587945.1		Capra hircus	Capra hircus	ALPINE Milk Goat				ALPINE	female		Chromosome	2024-11-07	JBFPJJ01	204
ASM4900467v1	GCA_049004675.1		Capra hircus	Capra hircus	Shannan White Goat				SBWCG	female		Chromosome	2025-03-26	JBKFXZ01	346
ASM4900459v1	GCA_049004595.1		Capra hircus	Capra hircus	Shannan White Goat				SBWCG	female		Chromosome	2025-03-26	JBKFYA01	300
Saanen_v1	GCA_015443085.1		Capra hircus	Capra hircus	Saanen Dairy Goat					male		Chromosome	2020-11-16	JACWUT01	1362
ASM4859405v1	GCA_048594055.1		Capra hircus	Capra hircus	Hainan black Goat				HNBG	female		Chromosome	2025-03-17	JBKFYB01	216
ASM2665220v1	GCA_026652205.1		Capra hircus	Capra hircus	Xinong Saanen Dairy goat					male	Annotation submitted by Northwest A&F University	Chromosome	2022-12-05	JAIWQT01	94
ASM4283598v1	GCA_042835985.1		Capra hircus	Capra hircus	Xinong Saanen Dairy goat				YW-2024a	male		Chromosome	2024-10-09	JBBJUA01	51
ASM4859397v1	GCA_048593975.1		Capra hircus	Capra hircus	Hainan black Goat				HNBG	female		Chromosome	2025-03-17	JBKFYC01	173
ASM4458790v1	GCA_044587905.1		Capra hircus	Capra hircus	BOER Goat				BOER	female		Chromosome	2024-11-07	JBFPJM01	522
ASM4767165v1	GCA_047671655.1		Capra hircus	Capra hircus	Shannan White Goat				SNWG	female		Chromosome	2025-02-12	JBLKYA01	1488
ASM4859882v1	GCA_048598825.1		Capra hircus	Capra hircus	ALPINE Milk Goat				ALPINE	female		Chromosome	2025-03-18	JBKFYK01	198
ASM4859806v1	GCA_048598065.1		Capra hircus	Capra hircus	ALPINE Milk Goat				ALPINE	female		Chromosome	2025-03-18	JBKFYJ01	237
ASM4859802v1	GCA_048598025.1		Capra hircus	Capra hircus	Guanzhong Milk Goat				GZMG	female		Chromosome	2025-03-18	JBKFYI01	521
ASM4859805v1	GCA_048598055.1		Capra hircus	Capra hircus	Guanzhong Milk Goat				GZMG	female		Chromosome	2025-03-18	JBKFYH01	619
ASM4859406v1	GCA_048594065.1		Capra hircus	Capra hircus	Nubian Goat				NUBIAN	female		Chromosome	2025-03-17	JBKFYE01	1425
ASM4859413v1	GCA_048594135.1		Capra hircus	Capra hircus	Nubian Goat				NUBIAN	female		Chromosome	2025-03-17	JBKFYD01	1513
ASM4900449v1	GCA_049004495.1		Capra hircus	Capra hircus	BOER Goat				BOER	female		Chromosome	2025-03-26	JBKFXY01	645
ASM4900453v1	GCA_049004535.1		Capra hircus	Capra hircus	BOER Goat				BOER	female		Chromosome	2025-03-26	JBKFXX01	737
ASM4859416v1	GCA_048594165.1		Capra hircus	Capra hircus	Shannan White Goat				SNWG	female		Chromosome	2025-03-17	JBKFYF01	2349
ASM4859412v1	GCA_048594125.1		Capra hircus	Capra hircus	Shannan White Goat				SNWG	female		Chromosome	2025-03-17	JBKFYG01	1183
CHIR_2.0	GCA_000317765.2		Capra hircus	Capra hircus	Yunnan black goat					female		Chromosome	2015-09-16	AJPT02	103494
CVASU_BBG_1.0	GCA_004361675.1		Capra hircus	Capra hircus	Black Bengal goat			Bengal		male		Chromosome	2019-03-22	SMSF01	3972
ASM3026950v1	GCA_030269505.1		Bos indicus	Bos indicus	Jinjiang cattle					female		Chromosome	2023-06-15	JAKQXT01	104
ASM3027223v1	GCA_030272235.1		Bos indicus	Bos indicus	Dabieshan cattle					female		Chromosome	2023-06-15	JAKQXV01	68
ASM3027213v1	GCA_030272135.1		Bos indicus	Bos indicus	Lincanggaofeng cattle					female		Chromosome	2023-06-15	JAKQXR01	43
ASM3026737v1	GCA_030267375.1		Bos indicus	Bos indicus	Yiling cattle					female		Chromosome	2023-06-15	JAKQXO01	92
ASM3027179v1	GCA_030271795.1		Bos indicus	Bos indicus	Wenshangaofeng cattle					female		Chromosome	2023-06-15	JAKQXP01	45
ASM3026981v1	GCA_030269815.1		Bos indicus	Bos indicus	Leiqiong cattle					female		Chromosome	2023-06-15	JAKQXS01	59
ASM3988116v1	GCA_039881165.1		Bos indicus	Bos indicus	Hainan				HN024	male		Chromosome	2024-05-29	JAMBMU01	292
ASM3027180v1	GCA_030271805.1		Bos indicus	Bos indicus	Weizhou cattle					female		Chromosome	2023-06-15	JAKQXQ01	67
ASM3026735v1	GCA_030267355.1		Bos indicus	Bos indicus	Xiangxi cattle					female		Chromosome	2023-06-15	JAKQXN01	48
NIAB-ARS_B.indSahiwal_pat_alt_1.0	GCA_029378735.1		Bos indicus	Bos indicus	Sahiwal x Tharparkar				NIAB-ARS_2022	female		Chromosome	2023-03-24	JAPFII01	81
ASM3026734v1	GCA_030267345.1		Bos indicus	Bos indicus	Weining cattle					female		Chromosome	2023-06-15	JAKQXM01	64
ASM3027071v1	GCA_030270715.1		Bos indicus	Bos indicus	Guanling cattle					female		Chromosome	2023-06-15	JAJUAH01	52
ASM3027068v1	GCA_030270685.1		Bos indicus	Bos indicus	Dabieshan cattle					female		Chromosome	2023-06-15	JAJUAE01	47
ASM3027080v1	GCA_030270805.1		Bos indicus	Bos indicus	Guanling cattle					female		Chromosome	2023-06-15	JAJUAI01	42
ASM3027070v1	GCA_030270705.1		Bos indicus	Bos indicus	Jinjiang cattle					female		Chromosome	2023-06-15	JAJUAF01	69
ASM3027072v1	GCA_030270725.1		Bos indicus	Bos indicus	Jinjiang cattle					female		Chromosome	2023-06-15	JAJUAG01	60
ASM3027247v1	GCA_030272475.1		Bos indicus	Bos indicus	Dabieshan cattle					female		Chromosome	2023-06-15	JAJUAD01	48
ASM3027082v1	GCA_030270825.1		Bos indicus	Bos indicus	Wenshangaofeng cattle					female		Chromosome	2023-06-15	JAJUAP01	34
ASM3027093v1	GCA_030270935.1		Bos indicus	Bos indicus	Yiling cattle					female		Chromosome	2023-06-15	JAJUAV01	45
ASM2626246v1	GCA_026262465.1		Bos indicus	Bos indicus	Leiqiong cattle					female		Chromosome	2022-11-23	JAJUAJ01	40
ASM3027086v1	GCA_030270865.1		Bos indicus	Bos indicus	Wenshangaofeng cattle					female		Chromosome	2023-06-15	JAJUAQ01	35
ASM2626254v1	GCA_026262545.1		Bos indicus	Bos indicus	Lincanggaofeng cattle					female		Chromosome	2022-11-23	JAJUAL01	44
ASM2626251v1	GCA_026262515.1		Bos indicus	Bos indicus	Lincanggaofeng cattle					female		Chromosome	2022-11-23	JAJUAM01	35
ASM2626237v1	GCA_026262375.1		Bos indicus	Bos indicus	Leiqiong cattle					female		Chromosome	2022-11-23	JAJUAK01	40
ASM3027099v1	GCA_030270995.1		Bos indicus	Bos indicus	Yiling cattle					female		Chromosome	2023-06-15	JAJUAW01	48
ASM3027084v1	GCA_030270845.1		Bos indicus	Bos indicus	Xiangxi cattle					female		Chromosome	2023-06-15	JAJUAS01	34
ASM3027085v1	GCA_030270855.1		Bos indicus	Bos indicus	Xiangxi cattle					female		Chromosome	2023-06-15	JAJUAR01	33
ASM3027250v1	GCA_030272505.1		Bos indicus	Bos indicus	Weizhou cattle					female		Chromosome	2023-06-15	JAJUAO01	39
ASM3027249v1	GCA_030272495.1		Bos indicus	Bos indicus	Weizhou cattle					female		Chromosome	2023-06-15	JAJUAN01	42
ASM3027095v1	GCA_030270955.1		Bos indicus	Bos indicus	Weining cattle					female		Chromosome	2023-06-15	JAJUAT01	50
ASM3027094v1	GCA_030270945.1		Bos indicus	Bos indicus	Weining cattle					female		Chromosome	2023-06-15	JAJUAU01	42
NRCY_Bgru_v1	GCA_050059765.1		Bos grunniens	Bos grunniens	Arunachali					female		Chromosome	2025-05-01	JBHMQP01	62
NWIPB_DYAK_1.0	GCA_027580245.1		Bos grunniens	Bos grunniens					GX_2022a	male		Chromosome	2023-01-09	JANCMS01	1313
BosGru3.1	GCA_005887515.3		Bos grunniens	Bos grunniens				maiwa	yakHY00	male		Chromosome	2019-06-10	VBZB01	343
NW_MosBer_1.0	GCA_049115385.1		Moschus berezovskii	Moschus berezovskii					FMDL1	male		Chromosome	2025-03-28	JBLYBT01	33
NPU_CNip_2	GCA_038088365.1		Cervus nippon	Cervus nippon	shuangyang					male		Chromosome	2024-04-17	JBBMHO01	7559
ASM3419567v1	GCA_034195675.1		Cervus nippon	Cervus nippon				Changchun, China	MLH-2022	male		Chromosome	2023-12-07	JAOBNA01	1889
ASM5232475v1	GCA_052324755.1		Cervus nippon kopschi	Cervus nippon					QY-2025	male		Chromosome	2025-08-28	JBQHDI01	260
AU_CerNipYes_1.0	GCA_054829135.1		Cervus nippon yesoensis	Cervus nippon					JP_HOKNOK_M01	male		Chromosome	2026-01-29	JBTNMK01	1741
UOA_Brahman_1	GCA_003369695.2	GCF_003369695.1	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male		Chromosome	2018-11-30	PUFS02	1250
UOA_Brahman_1	GCF_003369695.1	GCA_003369695.2	Bos indicus x Bos taurus	Bos indicus x Bos taurus	Angus x Brahman F1 hybrid					male	NCBI Bos indicus x Bos taurus Annotation Release 100	Chromosome	2018-11-30	PUFS02	1250
ULRtarCaribou_2v2	GCA_019903745.2		Rangifer tarandus caribou	Rangifer tarandus				boreal	CA-31	female		Chromosome	2023-04-17	JAHWTM02	12263
mRanTar1.2.h2	GCA_951394145.2		Rangifer tarandus platyrhynchus	Rangifer tarandus							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-21	CATOBB02	1213
Rangifer_t_t_557	GCA_965153185.1		Rangifer tarandus tarandus	Rangifer tarandus								Chromosome	2026-01-07	CBCUDT01	894
mCerEla1.hap2.2	GCA_910593805.2		Cervus elaphus	Cervus elaphus								Chromosome	2026-02-10	CAJVBA02	500
ASM2022604v1	GCA_020226045.1		Muntiacus reevesi	Muntiacus reevesi					NWPU-IOZ-04	male		Chromosome	2021-10-05	JAGTXV01	460
UCB_Mree_1.1	GCA_008787405.2		Muntiacus reevesi	Muntiacus reevesi					UCam_UCB_Mr	male	Annotation submitted by University of California, Berkeley	Chromosome	2019-10-07	VCEB01	29705
CerEla1.0	GCA_002197005.1		Cervus elaphus hippelaphus	Cervus elaphus					Hungarian	male	Annotation submitted by National Agricultural Research and Innovation Centre	Chromosome	2017-06-19	MKHE01	11479
NIPB_Tibetan_argali_1.0	GCA_045269445.1		Ovis ammon	Ovis ammon					HDX-2024	male		Chromosome	2024-11-25	JBIQQL01	96
BBCv1.0	GCA_051307275.1		Bubalus kerabau	Bubalus kerabau	Xilin				Swamp_XL001	female		Chromosome	2025-07-14	WWNQ01	1472
ARS_UNL_Btau-highland_paternal_1.0_alt	GCA_009493655.1		Bos grunniens x Bos taurus	Bos grunniens x Bos taurus					Esperanza	female		Chromosome	2019-11-04	VLPJ01	342
mAxiPor1.hap2	GCA_054883225.1		Axis porcinus	Axis porcinus					mAxiPor1	male		Chromosome	2026-01-30	JBTXHP01	1968
DamDam1_v1.mat	GCA_048126745.1		Dama dama	Dama dama					SK-2024	male	GCA_048126745.1-GB_2025_08_13	Chromosome	2025-02-27	JBLUUJ01	1303
DamDam1_v1.pat	GCA_048127045.1		Dama dama	Dama dama					SK-2024	male		Chromosome	2025-02-27	JBLUUI01	310
mRucEld1.hap1	GCA_054824865.1		Rucervus eldii thamin	Rucervus eldii					mRucEld1	female		Chromosome	2026-01-29	JBTVSD01	3421
mCapNub1.hap2	GCA_054856215.1		Capra nubiana	Capra nubiana					mCapNub1	male		Chromosome	2026-01-30	JBTVNL01	554
ASM2022607v1	GCA_020226075.1		Hydropotes inermis	Hydropotes inermis					NWPU-IOZ-05	female		Chromosome	2021-10-05	JAGTXW01	1712
ASM1349639v1	GCA_013496395.1		Giraffa tippelskirchi	Giraffa tippelskirchi					OR1865	male		Chromosome	2020-07-24	RAWU01	75681
ASM4043811v1	GCA_040438115.1		Tragelaphus eurycerus isaaci	Tragelaphus eurycerus					Barney_WCC	male		Chromosome	2024-07-02	JBBXMO01	34537
mCepZeb1.hap2	GCA_054099755.1		Cephalophula zebra	Cephalophula zebra					mCepZeb1	female		Chromosome	2025-12-18	JBSLPB01	677
ASM2022605v1	GCA_020226055.1		Muntiacus crinifrons	Muntiacus crinifrons					NWPU-IOZ-02	male		Chromosome	2021-10-05	JAGTXT01	5860
LAG_1.0	GCA_057190615.1		Bos taurus	Bos taurus	Lagune					male		Scaffold	2026-05-04	JBNBOP01	291
ASM5616299v1	GCA_056162995.1		Bos taurus	Bos taurus	Taiwan Wagyu				K26101	male		Contig	2026-03-20	JBUZMI01	388
ASM4963456v1	GCA_049634565.1		Bos taurus	Bos taurus	Hanwoo				JK-2025c	male		Contig	2025-04-15	JBMUHV01	456
ASM4963444v1	GCA_049634445.1		Bos taurus	Bos taurus	Hanwoo				JK-2025a	male		Contig	2025-04-15	JBMUHS01	665
ASM4963454v1	GCA_049634545.1		Bos taurus	Bos taurus	Hanwoo				JK-2025a	male		Contig	2025-04-15	JBMUHR01	756
ASM4963467v1	GCA_049634675.1		Bos taurus	Bos taurus	Hanwoo				JK-2025c	male		Contig	2025-04-15	JBMUHW01	610
seqoccin.Go.SAMEA114604488_hap1	GCA_976986635.2		Bos taurus	Bos taurus		mammals						Contig	2026-02-26	CDRKBV02	1184
ASM4963471v1	GCA_049634715.1		Bos taurus	Bos taurus	Hanwoo				JK-2025b	male		Contig	2025-04-15	JBMUHT01	641
ASM4963450v1	GCA_049634505.1		Bos taurus	Bos taurus	Hanwoo				JK-2025b	male		Contig	2025-04-15	JBMUHU01	974
seqoccin.Go.SAMEA114604485_hap2	GCA_976986625.1		Bos taurus	Bos taurus		mammals						Contig	2025-10-28	CDRKBU01	2119
ASM5482513v1	GCA_054825135.1		Bos taurus	Bos taurus	Drakensberger				UNI_ABP_6_DC_P_24			Scaffold	2026-01-29	JBSIPU01	173
seqoccin.Go.SAMEA114604485_hap1	GCA_976986615.1		Bos taurus	Bos taurus		mammals						Contig	2025-10-27	CDRKBT01	1507
seqoccin.Bt.SAMEA117655775.scaffold	GCA_965177565.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSG02	3554
seqoccin.Bt.SAMEA117655742.scaffold	GCA_965154335.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUIG02	1825
seqoccin.Bt.SAMEA117655754.scaffold	GCA_965177495.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXRJ02	3140
seqoccin.Bt.SAMEA117655791.scaffold	GCA_965153975.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGE02	2975
seqoccin.Bt.SAMEA117655837.scaffold	GCA_965154105.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHD02	2382
seqoccin.Bt.char.SAMEA114541726.v1.0	GCA_963920245.1		Bos taurus	Bos taurus		mammals						Scaffold	2023-12-22	CAWUBD01	3249
seqoccin.Bt.SAMEA117655711.scaffold	GCA_965154285.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHW02	3139
seqoccin.Bt.SAMEA117655838.scaffold	GCA_965154095.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHF02	2453
seqoccin.Bt.SAMEA117655831.scaffold	GCA_965153745.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFU02	3411
seqoccin.Bt.SAMEA117655787.scaffold	GCA_965153735.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGG02	5190
seqoccin.Bt.SAMEA117655813.scaffold	GCA_965177395.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRR02	3211
seqoccin.Bt.SAMEA117655842.scaffold	GCA_965154065.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHB02	3073
seqoccin.Bt.SAMEA117655835.scaffold	GCA_965154075.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHC02	3327
seqoccin.Bt.SAMEA117655710.scaffold	GCA_965153675.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFH02	3575
seqoccin.Bt.SAMEA117655789.scaffold	GCA_965153965.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGF02	5126
seqoccin.Bt.SAMEA117655779.scaffold	GCA_965153945.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGD02	3460
seqoccin.Bt.SAMEA117655810.scaffold	GCA_965153815.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGB02	5419
seqoccin.Bt.SAMEA117655833.scaffold	GCA_965154045.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGX02	3514
seqoccin.Bt.SAMEA117655755.scaffold	GCA_965153705.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFO02	6772
seqoccin.Bt.SAMEA117655832.scaffold	GCA_965153725.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFS02	3429
seqoccin.Bt.char.SAMEA114541728.v1.0	GCA_963920255.1		Bos taurus	Bos taurus		mammals						Scaffold	2023-12-22	CAWUBF01	3791
seqoccin.Bt.SAMEA117655730.scaffold	GCA_965153605.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUEX02	4202
seqoccin.Bt.SAMEA117655828.scaffold	GCA_965153785.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGP02	3623
seqoccin.Bt.SAMEA117655718.scaffold	GCA_965153565.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUFC02	3529
seqoccin.Bt.SAMEA117655788.scaffold	GCA_965153915.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGT02	4120
seqoccin.Bt.SAMEA117655778.scaffold	GCA_965153865.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGH02	3901
seqoccin.Bt.SAMEA117655843.scaffold	GCA_965154085.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUHE02	4233
seqoccin.Bt.SAMEA117655820.scaffold	GCA_965153755.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGC02	2300
seqoccin.Bt.SAMEA117655814.scaffold	GCA_965177385.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXRI02	3174
seqoccin.Bt.SAMEA117655819.scaffold	GCA_965153795.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGO02	3180
seqoccin.Bt.SAMEA117655708.scaffold	GCA_965153685.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFJ02	3450
seqoccin.Bt.SAMEA117655777.scaffold	GCA_965153955.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGL02	4661
seqoccin.Bt.SAMEA117655827.scaffold	GCA_965153995.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGS02	6534
seqoccin.Bt.SAMEA117655815.scaffold	GCA_965153855.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGJ02	4452
seqoccin.Bt.SAMEA117655765.scaffold	GCA_965153585.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFF02	4747
seqoccin.Bt.SAMEA117655829.scaffold	GCA_965177695.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSK02	3129
seqoccin.Bt.SAMEA117655731.scaffold	GCA_965153535.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFD02	3283
seqoccin.Bt.char.SAMEA114541727.v1.0	GCA_963920265.1		Bos taurus	Bos taurus		mammals						Scaffold	2023-12-22	CAWUBE01	487
seqoccin.Bt.SAMEA117655733.scaffold	GCA_965153485.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUEU02	3790
seqoccin.Bt.SAMEA117655739.scaffold	GCA_965153575.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUEZ02	2609
seqoccin.Bt.SAMEA117655722.scaffold	GCA_965153545.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFG02	5826
seqoccin.Bt.SAMEA117655830.scaffold	GCA_965177425.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCXRZ02	3534
seqoccin.Bt.SAMEA117655757.scaffold	GCA_965177745.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSM02	2912
seqoccin.Bt.SAMEA117655702.scaffold	GCA_965154255.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUHV02	3238
seqoccin.Bt.SAMEA117655759.scaffold	GCA_965153635.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFL02	3251
seqoccin.Bt.SAMEA117655784.scaffold	GCA_965154025.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGK02	4259
seqoccin.Bt.SAMEA117655826.scaffold	GCA_965153845.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGM02	3984
seqoccin.Bt.SAMEA117655746.scaffold	GCA_965153695.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFN02	3937
seqoccin.Bt.SAMEA117655753.scaffold	GCA_965153625.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUFM02	3490
seqoccin.Bt.SAMEA117655729.scaffold	GCA_965154445.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUIJ02	3602
seqoccin.Bt.SAMEA117655706.scaffold	GCA_965154195.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUHO02	2302
seqoccin.Bt.SAMEA117655834.scaffold	GCA_965153875.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGN02	2878
seqoccin.Bt.SAMEA117655785.scaffold	GCA_965153905.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCUGI02	4523
seqoccin.Bt.SAMEA117655712.scaffold	GCA_965154185.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-09-16	CBCUHR02	3704
seqoccin.Bt.SAMEA117655727.scaffold	GCA_965154405.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUIL02	4662
seqoccin.Bt.SAMEA117655781.scaffold	GCA_965153825.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFZ02	4924
seqoccin.Bt.SAMEA117655780.scaffold	GCA_965177625.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSP02	4933
seqoccin.Bt.SAMEA117655728.scaffold	GCA_965153655.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFQ02	5874
seqoccin.Bt.SAMEA117655792.scaffold	GCA_965153885.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGA02	5553
seqoccin.Bt.SAMEA117655748.scaffold	GCA_965177315.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXRD02	2160
seqoccin.Bt.SAMEA117655758.scaffold	GCA_965177505.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-27	CBCXSE02	2806
seqoccin.Bt.SAMEA117655774.scaffold	GCA_965153525.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUFI02	4831
seqoccin.Bt.SAMEA117655804.scaffold	GCA_965153935.2		Bos taurus	Bos taurus		mammals						Scaffold	2025-10-28	CBCUGZ02	4277
